#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
248   0.00149348   264.8   9255.25  0  -1050.33   -1.81744e-05   0.545285  0.454715
249   0.00151237   264.8   9255.24  0  -1050.33   -1.81131e-05   0.545476  0.454524
250   0.00153114   264.8   9255.23  0  -1050.34   -1.80511e-05   0.545667  0.454333
251   0.00154979   264.8   9255.21  0  -1050.34   -1.79882e-05   0.54586  0.45414
252   0.00156831   264.8   9255.2  0  -1050.35   -1.79245e-05   0.546053  0.453947
253   0.00158669   264.8   9255.19  0  -1050.35   -1.786e-05   0.546248  0.453752
254   0.00160492   264.8   9255.17  0  -1050.36   -1.77945e-05   0.546445  0.453555
255   0.001623   264.8   9255.16  0  -1050.36   -1.77281e-05   0.546642  0.453358
256   0.00164094   264.8   9255.14  0  -1050.36   -1.76607e-05   0.546841  0.453159
257   0.00165872   264.8   9255.13  0  -1050.37   -1.75922e-05   0.547041  0.452959
258   0.00167636   264.8   9255.11  0  -1050.37   -1.75227e-05   0.547243  0.452757
259   0.00169384   264.8   9255.09  0  -1050.37   -1.74521e-05   0.547445  0.452555
260   0.00171118   264.8   9255.08  0  -1050.37   -1.73803e-05   0.54765  0.45235
261   0.00172837   264.8   9255.06  0  -1050.37   -1.73074e-05   0.547855  0.452145
262   0.00174543   264.8   9255.04  0  -1050.37   -1.72332e-05   0.548062  0.451938
263   0.00176236   264.8   9255.02  0  -1050.37   -1.71578e-05   0.54827  0.45173
264   0.00177917   264.8   9255  0  -1050.37   -1.70812e-05   0.548479  0.451521
265   0.00179587   264.8   9254.98  0  -1050.37   -1.70032e-05   0.54869  0.45131
266   0.00181248   264.8   9254.96  0  -1050.37   -1.69238e-05   0.548902  0.451098
267   0.001829   264.8   9254.94  0  -1050.36   -1.68431e-05   0.549116  0.450884
268   0.00184545   264.8   9254.92  0  -1050.36   -1.67609e-05   0.549331  0.450669
269   0.00186184   264.8   9254.9  0  -1050.36   -1.66773e-05   0.549547  0.450453
270   0.00187821   264.8   9254.88  0  -1050.35   -1.65922e-05   0.549765  0.450235
271   0.00189456   264.8   9254.86  0  -1050.35   -1.65056e-05   0.549984  0.450016
272   0.00191092   264.8   9254.83  0  -1050.35   -1.64174e-05   0.550205  0.449795
273   0.00192731   264.8   9254.81  0  -1050.34   -1.63276e-05   0.550427  0.449573
274   0.00194376   264.8   9254.79  0  -1050.34   -1.62361e-05   0.550651  0.449349
275   0.00196029   264.8   9254.76  0  -1050.33   -1.6143e-05   0.550876  0.449124
276   0.00197693   264.8   9254.74  0  -1050.32   -1.60481e-05   0.551102  0.448898
277   0.00199372   264.8   9254.71  0  -1050.32   -1.59515e-05   0.551331  0.448669
278   0.00201069   264.8   9254.69  0  -1050.31   -1.5853e-05   0.55156  0.44844
279   0.00202786   264.8   9254.66  0  -1050.3   -1.57527e-05   0.551792  0.448208
280   0.00204528   264.8   9254.64  0  -1050.29   -1.56505e-05   0.552024  0.447976
281   0.00206298   264.8   9254.61  0  -1050.28   -1.55463e-05   0.552259  0.447741
282   0.00208101   264.8   9254.58  0  -1050.28   -1.54401e-05   0.552495  0.447505
283   0.00209941   264.8   9254.56  0  -1050.27   -1.53319e-05   0.552732  0.447268
284   0.00211821   264.8   9254.53  0  -1050.26   -1.52215e-05   0.552972  0.447028
285   0.00213747   264.8   9254.5  0  -1050.25   -1.51089e-05   0.553212  0.446788
286   0.00215723   264.8   9254.47  0  -1050.23   -1.4994e-05   0.553455  0.446545
287   0.00217754   264.8   9254.44  0  -1050.22   -1.48769e-05   0.553699  0.446301
288   0.00219846   264.8   9254.41  0  -1050.21   -1.47573e-05   0.553944  0.446056
289   0.00222003   264.8   9254.38  0  -1050.2   -1.46352e-05   0.554192  0.445808
290   0.00224231   264.8   9254.34  0  -1050.19   -1.45107e-05   0.554441  0.445559
291   0.00226536   264.8   9254.31  0  -1050.17   -1.43835e-05   0.554691  0.445309
292   0.00228923   264.8   9254.28  0  -1050.16   -1.42536e-05   0.554944  0.445056
293   0.00231399   264.8   9254.24  0  -1050.14   -1.41209e-05   0.555198  0.444802
294   0.00233969   264.8   9254.21  0  -1050.13   -1.39853e-05   0.555453  0.444547
295   0.00236639   264.8   9254.17  0  -1050.11   -1.38468e-05   0.55571  0.44429
296   0.00239416   264.8   9254.13  0  -1050.1   -1.37052e-05   0.555969  0.444031
297   0.00242305   264.8   9254.1  0  -1050.08   -1.35604e-05   0.556229  0.443771
298   0.00245313   264.8   9254.06  0  -1050.06   -1.34124e-05   0.556491  0.443509
299   0.00248446   264.8   9254.02  0  -1050.05   -1.32611e-05   0.556754  0.443246
300   0.00251709   264.8   9253.97  0  -1050.03   -1.31063e-05   0.557019  0.442981
301   0.00255108   264.8   9253.93  0  -1050.01   -1.2948e-05   0.557285  0.442715
302   0.0025865   264.8   9253.89  0  -1049.99   -1.27861e-05   0.557552  0.442448
303   0.00262337   264.8   9253.84  0  -1049.96   -1.26204e-05   0.557821  0.442179
304   0.00266176   264.8   9253.79  0  -1049.94   -1.24509e-05   0.55809  0.44191
305   0.00270171   264.8   9253.74  0  -1049.92   -1.22775e-05   0.558361  0.441639
306   0.00274323   264.8   9253.69  0  -1049.89   -1.21001e-05   0.558633  0.441367
307   0.00278637   264.8   9253.64  0  -1049.87   -1.19186e-05   0.558905  0.441095
308   0.00283114   264.8   9253.59  0  -1049.84   -1.1733e-05   0.559177  0.440823
309   0.00287753   264.8   9253.53  0  -1049.81   -1.15431e-05   0.559451  0.440549
310   0.00292555   264.8   9253.47  0  -1049.78   -1.13491e-05   0.559724  0.440276
311   0.00297518   264.8   9253.41  0  -1049.75   -1.11507e-05   0.559997  0.440003
