#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
86   1.3195728020e-04   2.6403459457e+02   9.2543492005e+03  0.0000000000e+00  -1.0437455528e+03   -6.1731011601e-05   5.3464283264e-01  4.6535716736e-01   8.1462991497e-02
87   1.3406137248e-04   2.6403459457e+02   9.2541661366e+03  0.0000000000e+00  -1.0436417011e+03   -6.2044504076e-05   5.3474316901e-01  4.6525683099e-01   7.9212174229e-02
88   1.3595698357e-04   2.6403459457e+02   9.2539880897e+03  0.0000000000e+00  -1.0435405535e+03   -6.2351049590e-05   5.3484153649e-01  4.6515846351e-01   7.6899292975e-02
89   1.3768079217e-04   2.6403459457e+02   9.2538152913e+03  0.0000000000e+00  -1.0434422896e+03   -6.2650595089e-05   5.3493798608e-01  4.6506201392e-01   7.4534491281e-02
90   1.3924747750e-04   2.6403459457e+02   9.2536478624e+03  0.0000000000e+00  -1.0433470171e+03   -6.2943188132e-05   5.3503259781e-01  4.6496740219e-01   7.2156476212e-02
91   1.4065179522e-04   2.6403459457e+02   9.2534858093e+03  0.0000000000e+00  -1.0432547718e+03   -6.3228951602e-05   5.3512547073e-01  4.6487452927e-01   6.9807802225e-02
92   1.4188320549e-04   2.6403459457e+02   9.2533290393e+03  0.0000000000e+00  -1.0431655276e+03   -6.3508054418e-05   5.3521670662e-01  4.6478329338e-01   6.7525718197e-02
93   1.4293460443e-04   2.6403459457e+02   9.2531773864e+03  0.0000000000e+00  -1.0430792116e+03   -6.3780683832e-05   5.3530639635e-01  4.6469360365e-01   6.5336961852e-02
94   1.4380370478e-04   2.6403459457e+02   9.2530306370e+03  0.0000000000e+00  -1.0429957192e+03   -6.4047023527e-05   5.3539461209e-01  4.6460538791e-01   6.3256964479e-02
95   1.4449201974e-04   2.6403459457e+02   9.2528885518e+03  0.0000000000e+00  -1.0429149259e+03   -6.4307239089e-05   5.3548140523e-01  4.6451859477e-01   6.1291947597e-02
96   1.4500438723e-04   2.6403459457e+02   9.2527508798e+03  0.0000000000e+00  -1.0428366956e+03   -6.4561470421e-05   5.3556680703e-01  4.6443319297e-01   5.9441569090e-02
97   1.4534866768e-04   2.6403459457e+02   9.2526173686e+03  0.0000000000e+00  -1.0427608859e+03   -6.4809830695e-05   5.3565083058e-01  4.6434916942e-01   5.7701587302e-02
98   1.4553524732e-04   2.6403459457e+02   9.2524877687e+03  0.0000000000e+00  -1.0426873519e+03   -6.5052410129e-05   5.3573347338e-01  4.6426652662e-01   5.6065885663e-02
99   1.4557655383e-04   2.6403459457e+02   9.2523618372e+03  0.0000000000e+00  -1.0426159481e+03   -6.5289282252e-05   5.3581472017e-01  4.6418527983e-01   5.4527712064e-02
100   1.4548668412e-04   2.6403459457e+02   9.2522393386e+03  0.0000000000e+00  -1.0425465298e+03   -6.5520510710e-05   5.3589454571e-01  4.6410545429e-01   5.3080291391e-02
101   1.4528102297e-04   2.6403459457e+02   9.2521200466e+03  0.0000000000e+00  -1.0424789549e+03   -6.5746155572e-05   5.3597291764e-01  4.6402708236e-01   5.1717072438e-02
102   1.4497570266e-04   2.6403459457e+02   9.2520037442e+03  0.0000000000e+00  -1.0424130843e+03   -6.5966278553e-05   5.3604979912e-01  4.6395020088e-01   5.0431820080e-02
103   1.4458688013e-04   2.6403459457e+02   9.2518902246e+03  0.0000000000e+00  -1.0423487834e+03   -6.6180947025e-05   5.3612515135e-01  4.6387484865e-01   4.9218660750e-02
104   1.4412994552e-04   2.6403459457e+02   9.2517792917e+03  0.0000000000e+00  -1.0422859226e+03   -6.6390236765e-05   5.3619893571e-01  4.6380106429e-01   4.8072114061e-02
105   1.4361883092e-04   2.6403459457e+02   9.2516707598e+03  0.0000000000e+00  -1.0422243778e+03   -6.6594233514e-05   5.3627111555e-01  4.6372888445e-01   4.6987107598e-02
106   1.4306849964e-04   2.6403459457e+02   9.2515644371e+03  0.0000000000e+00  -1.0421640265e+03   -6.6793008138e-05   5.3634165707e-01  4.6365834293e-01   4.5971459900e-02
107   1.4248898841e-04   2.6403459457e+02   9.2514601630e+03  0.0000000000e+00  -1.0421047657e+03   -6.6986629036e-05   5.3641052122e-01  4.6358947878e-01   4.5013268671e-02
108   1.4188830027e-04   2.6403459457e+02   9.2513578043e+03  0.0000000000e+00  -1.0420465099e+03   -6.7175159821e-05   5.3647766868e-01  4.6352233132e-01   4.4102907032e-02
109   1.4127367573e-04   2.6403459457e+02   9.2512572486e+03  0.0000000000e+00  -1.0419891877e+03   -6.7358663901e-05   5.3654306072e-01  4.6345693928e-01   4.3233437187e-02
110   1.4065146191e-04   2.6403459457e+02   9.2511583972e+03  0.0000000000e+00  -1.0419327370e+03   -6.7537209205e-05   5.3660666119e-01  4.6339333881e-01   4.2400746417e-02
111   1.4002672063e-04   2.6403459457e+02   9.2510611592e+03  0.0000000000e+00  -1.0418771018e+03   -6.7710871867e-05   5.3666843810e-01  4.6333156190e-01   4.1602827399e-02
112   1.3940335270e-04   2.6403459457e+02   9.2509654478e+03  0.0000000000e+00  -1.0418222293e+03   -6.7879737642e-05   5.3672836450e-01  4.6327163550e-01   4.0838853265e-02
113   1.3878458406e-04   2.6403459457e+02   9.2508711784e+03  0.0000000000e+00  -1.0417680683e+03   -6.8043901434e-05   5.3678641850e-01  4.6321358150e-01   4.0108516905e-02
114   1.3817335445e-04   2.6403459457e+02   9.2507782674e+03  0.0000000000e+00  -1.0417145690e+03   -6.8203465426e-05   5.3684258269e-01  4.6315741731e-01   3.9411578735e-02
115   1.3757245577e-04   2.6403459457e+02   9.2506866324e+03  0.0000000000e+00  -1.0416616816e+03   -6.8358536510e-05   5.3689684313e-01  4.6310315687e-01   3.8747611603e-02
116   1.3698453119e-04   2.6403459457e+02   9.2505961919e+03  0.0000000000e+00  -1.0416093570e+03   -6.8509223504e-05   5.3694918840e-01  4.6305081160e-01   3.8115919866e-02
117   1.3641205193e-04   2.6403459457e+02   9.2505068659e+03  0.0000000000e+00  -1.0415575466e+03   -6.8655634680e-05   5.3699960857e-01  4.6300039143e-01   3.7515551350e-02
118   1.3585730260e-04   2.6403459457e+02   9.2504185758e+03  0.0000000000e+00  -1.0415062018e+03   -6.8797875676e-05   5.3704809438e-01  4.6295190562e-01   3.6945355336e-02
119   1.3532237526e-04   2.6403459457e+02   9.2503312446e+03  0.0000000000e+00  -1.0414552746e+03   -6.8936048078e-05   5.3709463658e-01  4.6290536342e-01   3.6404049053e-02
120   1.3480917106e-04   2.6403459457e+02   9.2502447970e+03  0.0000000000e+00  -1.0414047173e+03   -6.9070248557e-05   5.3713922539e-01  4.6286077461e-01   3.5890273535e-02
121   1.3431940392e-04   2.6403459457e+02   9.2501591598e+03  0.0000000000e+00  -1.0413544827e+03   -6.9200568552e-05   5.3718185024e-01  4.6281814976e-01   3.5402632629e-02
122   1.3385459556e-04   2.6403459457e+02   9.2500742615e+03  0.0000000000e+00  -1.0413045241e+03   -6.9327094294e-05   5.3722249956e-01  4.6277750044e-01   3.4939716435e-02
123   1.3341605172e-04   2.6403459457e+02   9.2499900329e+03  0.0000000000e+00  -1.0412547957e+03   -6.9449907146e-05   5.3726116086e-01  4.6273883914e-01   3.4500115866e-02
124   1.3300481525e-04   2.6403459457e+02   9.2499064073e+03  0.0000000000e+00  -1.0412052526e+03   -6.9569084116e-05   5.3729782087e-01  4.6270217913e-01   3.4082431504e-02
125   1.3262160004e-04   2.6403459457e+02   9.2498233204e+03  0.0000000000e+00  -1.0411558509e+03   -6.9684698396e-05   5.3733246583e-01  4.6266753417e-01   3.3685281071e-02
126   1.3226671556e-04   2.6403459457e+02   9.2497407106e+03  0.0000000000e+00  -1.0411065484e+03   -6.9796819935e-05   5.3736508188e-01  4.6263491812e-01   3.3307304475e-02
127   1.3194010668e-04   2.6403459457e+02   9.2496585191e+03  0.0000000000e+00  -1.0410573044e+03   -6.9905514761e-05   5.3739565537e-01  4.6260434463e-01   3.2947479644e-02
128   1.3164113375e-04   2.6403459457e+02   9.2495766912e+03  0.0000000000e+00  -1.0410080809e+03   -7.0010844945e-05   5.3742417286e-01  4.6257582714e-01   3.2604467855e-02
129   1.3136857367e-04   2.6403459457e+02   9.2494951763e+03  0.0000000000e+00  -1.0409588429e+03   -7.0112868304e-05   5.3745062132e-01  4.6254937868e-01   3.2276840371e-02
130   1.3112062634e-04   2.6403459457e+02   9.2494139289e+03  0.0000000000e+00  -1.0409095587e+03   -7.0211638425e-05   5.3747498827e-01  4.6252501173e-01   3.1963211419e-02
131   1.3089489949e-04   2.6403459457e+02   9.2493329082e+03  0.0000000000e+00  -1.0408602003e+03   -7.0307204853e-05   5.3749726205e-01  4.6250273795e-01   3.1662304120e-02
132   1.3068839049e-04   2.6403459457e+02   9.2492520784e+03  0.0000000000e+00  -1.0408107435e+03   -7.0399613383e-05   5.3751743216e-01  4.6248256784e-01   3.1372964360e-02
133   1.3049748766e-04   2.6403459457e+02   9.2491714082e+03  0.0000000000e+00  -1.0407611674e+03   -7.0488906368e-05   5.3753548952e-01  4.6246451048e-01   3.1094146290e-02
134   1.3031798892e-04   2.6403459457e+02   9.2490908710e+03  0.0000000000e+00  -1.0407114551e+03   -7.0575122885e-05   5.3755142679e-01  4.6244857321e-01   3.0824892356e-02
135   1.3014512327e-04   2.6403459457e+02   9.2490104445e+03  0.0000000000e+00  -1.0406615929e+03   -7.0658298781e-05   5.3756523859e-01  4.6243476141e-01   3.0564315171e-02
136   1.2997356672e-04   2.6403459457e+02   9.2489301106e+03  0.0000000000e+00  -1.0406115706e+03   -7.0738466548e-05   5.3757692169e-01  4.6242307831e-01   3.0311584191e-02
137   1.2979745403e-04   2.6403459457e+02   9.2488498553e+03  0.0000000000e+00  -1.0405613812e+03   -7.0815655078e-05   5.3758647504e-01  4.6241352496e-01   3.0065918261e-02
138   1.2961039051e-04   2.6403459457e+02   9.2487696683e+03  0.0000000000e+00  -1.0405110208e+03   -7.0889889326e-05   5.3759389986e-01  4.6240610014e-01   2.9826583535e-02
139   1.2940546661e-04   2.6403459457e+02   9.2486895427e+03  0.0000000000e+00  -1.0404604881e+03   -7.0961189947e-05   5.3759919958e-01  4.6240080042e-01   2.9592893086e-02
140   1.2917527614e-04   2.6403459457e+02   9.2486094752e+03  0.0000000000e+00  -1.0404097848e+03   -7.1029572863e-05   5.3760237975e-01  4.6239762025e-01   2.9364208976e-02
141   1.2891193815e-04   2.6403459457e+02   9.2485294650e+03  0.0000000000e+00  -1.0403589145e+03   -7.1095048921e-05   5.3760344794e-01  4.6239655206e-01   2.9139943406e-02
142   1.2860712143e-04   2.6403459457e+02   9.2484495140e+03  0.0000000000e+00  -1.0403078831e+03   -7.1157623534e-05   5.3760241360e-01  4.6239758640e-01   2.8919560680e-02
143   1.2825207067e-04   2.6403459457e+02   9.2483696265e+03  0.0000000000e+00  -1.0402566982e+03   -7.1217296413e-05   5.3759928790e-01  4.6240071210e-01   2.8702577705e-02
144   1.2783763290e-04   2.6403459457e+02   9.2482898086e+03  0.0000000000e+00  -1.0402053688e+03   -7.1274061344e-05   5.3759408357e-01  4.6240591643e-01   2.8488564431e-02
