#omega  DOS(omega)
592.956   0.400241
592.966   0.405871
592.976   0.411623
592.986   0.417499
592.996   0.423503
593.006   0.429638
593.016   0.43591
593.026   0.442321
593.036   0.448876
593.046   0.455579
593.056   0.462435
593.066   0.469448
593.076   0.476622
593.086   0.483964
593.096   0.491478
593.106   0.499169
593.116   0.507044
593.126   0.515107
593.136   0.523365
593.146   0.531825
593.156   0.540492
593.166   0.549374
593.176   0.558477
593.186   0.567809
593.196   0.577378
593.206   0.587191
593.216   0.597258
593.226   0.607585
593.236   0.618184
593.246   0.629062
593.256   0.64023
593.266   0.651699
593.276   0.663478
593.286   0.675579
593.296   0.688014
593.306   0.700795
593.316   0.713934
593.326   0.727446
593.336   0.741343
593.346   0.755642
593.356   0.770356
593.366   0.785502
593.376   0.801098
593.386   0.81716
593.396   0.833707
593.406   0.850759
593.416   0.868335
593.426   0.886458
593.436   0.905149
593.446   0.924433
593.456   0.944334
593.466   0.964879
593.476   0.986094
593.486   1.00801
593.496   1.03065
593.506   1.05406
593.516   1.07827
593.526   1.1033
593.536   1.12921
593.546   1.15603
593.556   1.18379
593.566   1.21256
593.576   1.24237
593.586   1.27327
593.596   1.30531
593.606   1.33856
593.616   1.37307
593.626   1.4089
593.636   1.44613
593.646   1.48481
593.656   1.52503
593.666   1.56687
593.676   1.6104
593.686   1.65573
593.696   1.70294
593.706   1.75214
593.716   1.80344
593.726   1.85695
593.736   1.9128
593.746   1.97112
593.756   2.03205
593.766   2.09575
593.776   2.16236
593.786   2.23208
593.796   2.30507
593.806   2.38155
593.816   2.46171
593.826   2.54579
593.836   2.63404
593.846   2.7267
593.856   2.82407
593.866   2.92645
593.876   3.03414
593.886   3.14751
593.896   3.26693
593.906   3.39279
593.916   3.52552
593.926   3.66558
593.936   3.81346
593.946   3.9697
593.956   4.13486
593.966   4.30953
593.976   4.49438
593.986   4.69008
593.996   4.89737
594.006   5.11703
594.016   5.34987
594.026   5.59677
594.036   5.85863
594.046   6.13639
594.056   6.43103
594.066   6.74353
594.076   7.07491
594.086   7.42615
594.096   7.79822
594.106   8.19202
594.116   8.60835
594.126   9.04787
594.136   9.51105
594.146   9.99806
594.156   10.5087
594.166   11.0425
594.176   11.5982
594.186   12.1739
594.196   12.7671
594.206   13.3741
594.216   13.9904
594.226   14.6103
594.236   15.2269
594.246   15.832
594.256   16.4164
594.266   16.97
594.276   17.4821
594.286   17.9414
594.296   18.3371
594.306   18.6593
594.316   18.899
594.326   19.0497
594.336   19.1069
594.346   19.0688
594.356   18.9367
594.366   18.7143
594.376   18.4081
594.386   18.0264
594.396   17.579
594.406   17.0768
594.416   16.5306
594.426   15.9516
594.436   15.3499
594.446   14.735
594.456   14.1152
594.466   13.4977
594.476   12.8885
594.486   12.2922
594.496   11.7128
594.506   11.153
594.516   10.6148
594.526   10.0994
594.536   9.6077
594.546   9.13979
594.556   8.69559
594.566   8.2747
594.576   7.87648
594.586   7.50017
594.596   7.14487
594.606   6.80963
594.616   6.49346
594.626   6.19537
594.636   5.91434
594.646   5.64941
594.656   5.39963
594.666   5.16408
594.676   4.94189
594.686   4.73222
594.696   4.5343
594.706   4.34738
594.716   4.17076
594.726   4.00379
594.736   3.84585
594.746   3.69638
594.756   3.55483
594.766   3.42071
594.776   3.29356
594.786   3.17293
594.796   3.05842
594.806   2.94966
594.816   2.84629
594.826   2.74798
594.836   2.65444
594.846   2.56538
594.856   2.48052
594.866   2.39964
594.876   2.32249
594.886   2.24885
594.896   2.17854
594.906   2.11136
594.916   2.04714
594.926   1.98572
594.936   1.92693
594.946   1.87064
594.956   1.81672
594.966   1.76503
594.976   1.71546
594.986   1.66791
594.996   1.62226
595.006   1.57842
595.016   1.53629
595.026   1.4958
595.036   1.45686
595.046   1.4194
595.056   1.38334
595.066   1.34862
595.076   1.31517
595.086   1.28294
595.096   1.25186
595.106   1.22188
595.116   1.19296
595.126   1.16505
595.136   1.13809
595.146   1.11205
595.156   1.08689
595.166   1.06257
595.176   1.03906
595.186   1.01631
595.196   0.994302
595.206   0.972998
595.216   0.952371
595.226   0.932392
595.236   0.913037
595.246   0.894278
595.256   0.876094
595.266   0.85846
595.276   0.841356
595.286   0.82476
595.296   0.808653
595.306   0.793017
595.316   0.777833
595.326   0.763085
595.336   0.748756
595.346   0.734831
595.356   0.721296
595.366   0.708135
595.376   0.695336
595.386   0.682886
